"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2002"	"2002"	"18 years"	"18"	152	4084316	3.7
	"2002"	"2002"	"19 years"	"19"	266	4152627	6.4
	"2002"	"2002"	"20 years"	"20"	261	4158896	6.3
	"2002"	"2002"	"21 years"	"21"	317	4182678	7.6
	"2002"	"2002"	"22 years"	"22"	299	4145736	7.2
	"2002"	"2002"	"23 years"	"23"	303	3936927	7.7
	"2002"	"2002"	"24 years"	"24"	317	3819528	8.3
	"2002"	"2002"	"25 years"	"25"	301	3779169	8.0
	"2002"	"2002"	"26 years"	"26"	375	3669915	10.2
	"2002"	"2002"	"27 years"	"27"	334	3791713	8.8
	"2002"	"2002"	"28 years"	"28"	343	3682001	9.3
	"2002"	"2002"	"29 years"	"29"	375	3768542	10.0
	"2002"	"2002"	"30 years"	"30"	407	3994164	10.2
	"2002"	"2002"	"31 years"	"31"	465	4210913	11.0
	"2002"	"2002"	"32 years"	"32"	479	4330977	11.1
	"2002"	"2002"	"33 years"	"33"	503	4095531	12.3
	"2002"	"2002"	"34 years"	"34"	543	4026721	13.5
	"2002"	"2002"	"35 years"	"35"	595	4050190	14.7
	"2002"	"2002"	"36 years"	"36"	650	4168398	15.6
	"2002"	"2002"	"37 years"	"37"	675	4459389	15.1
	"2002"	"2002"	"38 years"	"38"	802	4538848	17.7
	"2002"	"2002"	"39 years"	"39"	789	4534393	17.4
	"2002"	"2002"	"40 years"	"40"	860	4551912	18.9
	"2002"	"2002"	"41 years"	"41"	950	4610846	20.6
	"2002"	"2002"	"42 years"	"42"	903	4699196	19.2
	"2002"	"2002"	"43 years"	"43"	933	4515522	20.7
	"2002"	"2002"	"44 years"	"44"	907	4511955	20.1
	"2002"	"2002"	"45 years"	"45"	901	4461379	20.2
	"2002"	"2002"	"46 years"	"46"	898	4301101	20.9
	"2002"	"2002"	"47 years"	"47"	806	4330110	18.6
	"2002"	"2002"	"48 years"	"48"	777	4143330	18.8
	"2002"	"2002"	"49 years"	"49"	646	4016368	16.1
	"2002"	"2002"	"50 years"	"50"	611	3881009	15.7
	"2002"	"2002"	"51 years"	"51"	568	3797199	15.0
	"2002"	"2002"	"52 years"	"52"	469	3785188	12.4
	"2002"	"2002"	"53 years"	"53"	406	3650409	11.1
	"2002"	"2002"	"54 years"	"54"	384	3626101	10.6
	"2002"	"2002"	"55 years"	"55"	322	3788111	8.5
	"2002"	"2002"	"56 years"	"56"	217	2846712	7.6
	"2002"	"2002"	"57 years"	"57"	198	2833628	7.0
	"2002"	"2002"	"58 years"	"58"	174	2792832	6.2
	"2002"	"2002"	"59 years"	"59"	178	2881784	6.2
	"2002"	"2002"	"60 years"	"60"	127	2540735	5.0
	"2002"	"2002"	"61 years"	"61"	120	2370358	5.1
	"2002"	"2002"	"62 years"	"62"	103	2306156	4.5
	"2002"	"2002"	"63 years"	"63"	80	2195850	3.6
	"2002"	"2002"	"64 years"	"64"	82	2147166	3.8
	"2002"	"2002"	"65 years"	"65"	66	2025379	3.3
	"2002"	"2002"	"66 years"	"66"	61	1986541	3.1
	"2002"	"2002"	"67 years"	"67"	60	1986526	3.0
	"2002"	"2002"	"68 years"	"68"	61	1821142	3.3
	"2002"	"2002"	"69 years"	"69"	45	1818893	2.5
	"2002"	"2002"	"70 years"	"70"	38	1792760	2.1
	"2002"	"2002"	"71 years"	"71"	40	1782107	2.2
	"2002"	"2002"	"72 years"	"72"	55	1797946	3.1
	"2002"	"2002"	"73 years"	"73"	36	1697450	2.1
	"2002"	"2002"	"74 years"	"74"	46	1679791	2.7
	"2002"	"2002"	"75 years"	"75"	41	1620812	2.5
	"2002"	"2002"	"76 years"	"76"	36	1554475	2.3
	"2002"	"2002"	"77 years"	"77"	44	1522890	2.9
	"2002"	"2002"	"78 years"	"78"	38	1436185	2.6
	"2002"	"2002"	"79 years"	"79"	36	1336099	2.7
	"2002"	"2002"	"80 years"	"80"	35	1269310	2.8
	"2002"	"2002"	"81 years"	"81"	33	1180698	2.8
	"2002"	"2002"	"82 years"	"82"	35	1075053	3.3
	"2002"	"2002"	"83 years"	"83"	36	919945	3.9
	"2002"	"2002"	"84 years"	"84"	25	849397	2.9
	"2002"	"2002"	"85 years"	"85"	22	Not Applicable	Not Applicable
	"2002"	"2002"	"86 years"	"86"	24	Not Applicable	Not Applicable
	"2002"	"2002"	"87 years"	"87"	24	Not Applicable	Not Applicable
	"2002"	"2002"	"88 years"	"88"	22	Not Applicable	Not Applicable
	"2002"	"2002"	"89 years"	"89"	21	Not Applicable	Not Applicable
	"2002"	"2002"	"90 years"	"90"	15	Not Applicable	Not Applicable
	"2002"	"2002"	"91 years"	"91"	16	Not Applicable	Not Applicable
	"2002"	"2002"	"92 years"	"92"	13	Not Applicable	Not Applicable
	"2002"	"2002"	"93 years"	"93"	10	Not Applicable	Not Applicable
	"2002"	"2002"	"94 years"	"94"	14	Not Applicable	Not Applicable
	"2002"	"2002"	"95 years"	"95"	4	Not Applicable	Not Applicable
	"2002"	"2002"	"96 years"	"96"	3	Not Applicable	Not Applicable
	"2002"	"2002"	"97 years"	"97"	1	Not Applicable	Not Applicable
	"2002"	"2002"	"99 years"	"99"	3	Not Applicable	Not Applicable
	"2002"	"2002"	"100+ years"	"100"	1	Not Applicable	Not Applicable
	"2002"	"2002"	"Not Stated"	"NS"	10	Not Applicable	Not Applicable
"Total"	"2002"	"2002"			23518	287625193	8.2
	"2003"	"2003"	"< 1 year"	"0"	24	3975871	0.6
	"2003"	"2003"	"1 year"	"1"	16	3936139	Unreliable
	"2003"	"2003"	"2 years"	"2"	11	4002836	Unreliable
	"2003"	"2003"	"3 years"	"3"	5	3860727	Unreliable
	"2003"	"2003"	"4 years"	"4"	3	3816873	Unreliable
	"2003"	"2003"	"5 years"	"5"	4	3823568	Unreliable
	"2003"	"2003"	"6 years"	"6"	1	3837761	Unreliable
	"2003"	"2003"	"7 years"	"7"	1	3924182	Unreliable
	"2003"	"2003"	"8 years"	"8"	1	3991075	Unreliable
	"2003"	"2003"	"9 years"	"9"	2	4044265	Unreliable
	"2003"	"2003"	"10 years"	"10"	3	4205042	Unreliable
	"2003"	"2003"	"11 years"	"11"	1	4254047	Unreliable
	"2003"	"2003"	"12 years"	"12"	6	4332987	Unreliable
	"2003"	"2003"	"13 years"	"13"	10	4401393	Unreliable
	"2003"	"2003"	"14 years"	"14"	12	4221884	Unreliable
	"2003"	"2003"	"15 years"	"15"	30	4172654	0.7
	"2003"	"2003"	"16 years"	"16"	75	4139141	1.8
	"2003"	"2003"	"17 years"	"17"	103	4160313	2.5
	"2003"	"2003"	"18 years"	"18"	183	4201835	4.4
	"2003"	"2003"	"19 years"	"19"	255	4123223	6.2
	"2003"	"2003"	"20 years"	"20"	306	4156877	7.4
	"2003"	"2003"	"21 years"	"21"	337	4167554	8.1
	"2003"	"2003"	"22 years"	"22"	388	4175294	9.3
